features,labels
"(array([2113, 1149,  156, ..., 1186,  581, 2052]), array([[1947,   78,  259,    3,  617],
       [  39,   30,    0,  100,  521],
       [ 258,    6,   38, 1317,  364],
       ...,
       [2457,   70, 1665,   51,   39],
       [ 392, 1520,   32, 1817, 3608],
       [1189,   50,    0,    3, 1589]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([ 258, 3283, 1609, ..., 1090,  583, 1074]), array([[ 212,  506,   14,  465,   20],
       [   1,  348,   10,    9,  119],
       [  18, 1747,   21, 2372,    2],
       ...,
       [2574,    2, 1897,   17,  281],
       [  19, 2319,    0, 2341,  267],
       [1291,    4,    0,    6,    2]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([ 499, 2914, 2852, ..., 2739,  554, 1117]), array([[ 220,    2,  461,    1,   82],
       [ 147,    0,    8,   39,   61],
       [  98,  724,  557,   71,    1],
       ...,
       [  17,   16,  230, 1423,    8],
       [ 355,  315,  170,  942,    4],
       [  46,  394,  112,   13,   17]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([1148, 1675,  684, ...,  385,  116, 3275]), array([[  20, 1142, 1524, 1560,    2],
       [ 265,  123,   35,    9,  252],
       [ 594,    6,    5,   13,   88],
       ...,
       [ 427,    0,  209,   42,   10],
       [  11, 2898,    3, 2129, 1986],
       [ 149,    8,   51, 1405,   29]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([2541, 1737,  911, ...,  204,  417,  846]), array([[   1,    7,  235,   16,   12],
       [ 254,    7,   92,    4,   16],
       [ 206,    0,  159,    7,   41],
       ...,
       [3870,  182,    8,   25,  261],
       [ 673,    5, 2427,   81,  179],
       [  14,    0, 1742,   17,  143]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([2556,  262, 1443, ..., 1264, 2572, 1252]), array([[   1,    1,  547, 3937,   53],
       [ 176,  165,    9,  214,  772],
       [ 213,  317, 3893, 2315,   94],
       ...,
       [  34,  429,  267,  255,    1],
       [  21,    1,  573,  604, 1281],
       [  16,    6,  398,   89, 1664]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([ 563, 2066, 1045, ..., 1792, 3694, 1884]), array([[ 927,   10, 3426,   20,  392],
       [1635, 1512,    0,    6, 1480],
       [  19,    0,   44,   28,   49],
       ...,
       [1203,    4,   21,    1,   99],
       [2085,   58,    1,    9,  907],
       [  92, 3502, 2722,  259,  651]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([ 392,   74, 2710, ..., 1361,  140, 3143]), array([[ 581,    2,   10, 2739,   26],
       [ 260,   94,  343,   40,   89],
       [   4,    9,   54,   35,    0],
       ...,
       [   2, 1704,  169,    6, 1659],
       [   7,   11,   64, 1344, 1071],
       [  22,    9,  419,  197,   43]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([  79, 2503,  739, ...,  835,  472,  617]), array([[   2,    2,   12,   21,    3],
       [  65, 1035,    0,  121,   28],
       [  76,    5, 2651,    7,    6],
       ...,
       [  42,  688, 1425,    3,   15],
       [1383,    0,  108,  400,    2],
       [   8, 1802,  166,   56,   50]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([2926, 2731, 2009, ...,  390, 3158, 2388]), array([[ 574,   40, 3346,    1,  108],
       [2112, 1042,   71,  211,    3],
       [   1,  234,  147,   59, 3614],
       ...,
       [   7,  166,  630,  496,  244],
       [2246,  274, 1179,    8,  332],
       [ 772,  377,    9,    5,    7]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([ 759,  928,  252, ..., 2350, 1857,  502]), array([[ 816,   25,    2,    1,  203],
       [ 771,  775,    3,    8,  299],
       [  32,   51,   66,  115,    0],
       ...,
       [  68,   89,    3,  106,    4],
       [   2,    9,  121,   65,    7],
       [ 223, 1313,    5,  496, 1523]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([4061, 2884, 3880, ...,  523,  265,  952]), array([[ 820,  458,  816,  126,    2],
       [ 217,    1,  132,   52,   13],
       [   4,   12,  130,  849,    0],
       ...,
       [1071,  146,    7,  198,   21],
       [1188, 2818,  159,   16, 2384],
       [   5,  308,  402,  251,  545]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([1967,  206,   83, ...,  109,  521, 2259]), array([[ 276,   47,  693,    1,    2],
       [ 399,   25, 1856,  230,  422],
       [   1, 1823,  467,  324,  666],
       ...,
       [ 282,  169,  956,  880,    2],
       [  24,    1,   15,    4,   85],
       [   2,    1,   25,   14,   44]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([1284, 1967, 3955, ...,  244, 3353,  777]), array([[3164,   76,  130,   12,  229],
       [ 977,    1,  363,  394,   70],
       [  76,    6,    0, 1110,    8],
       ...,
       [ 677,   16,    3, 2429,  204],
       [1038,   77, 3505,    0,  198],
       [  95,  116,   16,  242, 3224]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([1976,  570,  536, ..., 2941, 2584,  209]), array([[ 108,  446,   34,  211,   36],
       [3691,  363,  122,    4,   17],
       [ 104,  419, 3885,  316, 2020],
       ...,
       [  60,  134,  174,  533,    1],
       [ 397,  105,  250,  474,  270],
       [  43, 1150,   71,    3,    0]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([ 508,  349,  605, ..., 3740, 2272, 1261]), array([[1370,   21,  505,   29,  129],
       [ 586,    2,  257,  102,   35],
       [   1,  299,   14,    1, 1425],
       ...,
       [ 162,   91, 1548,    2,    0],
       [   2,   82,  469,   13,  844],
       [1225,   18,  671,    0,   72]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([ 289, 1382, 1272, ..., 1577,  598,  206]), array([[   6,    0, 1423,    1, 1395],
       [2050,   62,   15, 2117,   91],
       [  20,   16,  202,  223,   41],
       ...,
       [ 217,   60,   12,    9,   49],
       [3712,    5,    3, 1074, 1224],
       [ 147,    0,  121,   23,   24]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([  98,  267, 1717, ..., 2899,  831,  444]), array([[  36,    0,  386,   14,    1],
       [ 257,   18,    3,   13,    1],
       [ 942,  584,  995,   20,    1],
       ...,
       [   9,    3, 1501, 2605,  214],
       [ 284,   89,  223,  136,    2],
       [ 938,    7,  885,    0,   65]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([1254,  781, 1050, ..., 3040, 3642,  783]), array([[   1,   11,  588,  867, 1810],
       [ 232,   67,    2, 2540, 1814],
       [3567,    3,    4, 3131,    2],
       ...,
       [  32,    0,   14,    8,   31],
       [1796,  449,   31, 1570, 3739],
       [  87,    0, 1884, 1650,   83]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([ 419,  263, 2603, ..., 1734,   14,  581]), array([[  45,    1,  720, 1927,  806],
       [   2,   28, 1118,    5,   66],
       [ 170,  833,    1,    3,   25],
       ...,
       [ 211,    0,   21,    1,    9],
       [ 443,   12,   17,  648, 1591],
       [ 392,    2, 1566, 3290,  138]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
"(array([ 672,  318, 2689, ..., 1501, 4008, 1208]), array([[   1,   30,    9,   24,    0],
       [2268,  155,   14,    4,   25],
       [1049,  559, 2692, 3445,  107],
       ...,
       [  13,   63, 1048,  508,   31],
       [ 785, 2501,  143,   20,   19],
       [  13,   17,   16,  319,   68]]))","[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ...
 [1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]]"
